iso_week,release_date,pos_date,net_pos,friday,twap_weekly,ret_1w,ret_2w,ret_4w,net_pos_chg,pos_pct,pos_z,pos_z52,regime
2023-W03,2023-01-20,2023-01-17,80403,2023-01-21,81.6192400265573,-0.0212314990672199,-0.0969156816010443,-0.0253008343758528,4499,0.308641975308642,-0.642327148047864,-0.397575453266556,Short (10-40th)
2023-W04,2023-01-27,2023-01-24,86789,2023-01-28,79.4667324251934,0.0270869020994445,0.00528030749556634,0.00990779110677273,6386,0.395061728395062,-0.470196759194771,-0.0166624862020302,Short (10-40th)
2023-W05,2023-02-03,2023-01-31,86394,2023-02-04,73.2760467524862,0.0844844385999464,0.113859762416674,0.00590928433408489,-395,0.388888888888889,-0.480843721862634,-0.0246058620377705,Short (10-40th)
2023-W06,2023-02-10,2023-02-07,78145,2023-02-11,79.7901018260221,-0.0816398892150743,-0.00405275082282529,0.00120615690219363,-8249,0.277777777777778,-0.703190038437824,-0.470840129942001,Short (10-40th)
2023-W07,2023-02-17,2023-02-14,63762,2023-02-18,76.3632696020995,0.0448753994135998,-0.040428112438083,0.0688285147014364,-14383,0.148148148148148,-1.09087425122737,-1.24498957410923,Short (10-40th)
2023-W08,2023-02-24,2023-02-21,85635,2023-02-25,76.466196949779,-0.00134605030438665,0.043468944564173,0.0392400249404979,21873,0.376543209876543,-0.501302062786451,0.015141362476554,Short (10-40th)
2023-W09,2023-03-03,2023-02-28,75360,2023-03-04,79.7657312847514,-0.0413653116674068,-0.0426556821814325,-0.0813593059041615,-10275,0.253086419753086,-0.778257863830223,-0.546483295384704,Short (10-40th)
2023-W10,2023-03-10,2023-03-07,59964,2023-03-12,76.65,0.0406488099771869,-0.00239795238383545,0.0409667557210971,-15396,0.104938271604938,-1.19324681885406,-1.4654913785588,Short (10-40th)
2023-W11,2023-03-17,2023-03-14,79933,2023-03-19,66.285,0.156370219506676,0.203375292822681,0.152044498787048,19969,0.302469135802469,-0.654995685905827,-0.164664645615931,Short (10-40th)
2023-W12,2023-03-24,2023-03-21,102194,2023-03-26,69.21,-0.0422626788036411,0.107498916341569,0.104843186675033,22261,0.54320987654321,-0.0549652151481241,1.42649648975448,Neutral (40-60th)
2023-W13,2023-03-31,2023-03-28,83142,2023-04-02,75.685,-0.085551958776508,-0.124198982625355,0.0539173057376149,-19052,0.345679012345679,-0.568499222105393,0.11622387700946,Short (10-40th)
2023-W14,2023-04-07,2023-04-04,59864,2023-04-09,80.465,-0.0594047101224135,-0.139874479587398,-0.0474119182253153,-23278,0.0987654320987654,-1.19594225244086,-1.52194417692511,Extreme Short (<10th)
