iso_week,friday,twap_weekly,n_days,ret_1w,ret_2w,ret_4w
2022-W36,2022-09-11,86.1,7,0.0102206736353079,0.0799070847851337,0.0670731707317074
2022-W37,2022-09-18,85.345,7,0.00884644677485495,0.0191575370554808,0.0642685570332181
2022-W38,2022-09-25,79.375,7,0.0752125984251968,0.0847244094488188,0.17140157480315
2022-W39,2022-10-02,79.705,7,-0.00414026723543063,0.0707609309328148,0.0912740731447212
2022-W40,2022-10-09,93.255,7,-0.145300520079352,-0.148839204332207,-0.0767251085732669
2022-W41,2022-10-16,85.59,7,0.0895548545390816,-0.06875803248043,-0.00286248393503919
2022-W42,2022-10-23,85.125,7,0.00546255506607934,0.0955066079295154,-0.0675477239353891
2022-W43,2022-10-30,88.32,7,-0.0361752717391304,-0.0309103260869564,-0.0975430253623188
2022-W44,2022-11-05,92.5421917,6,-0.0456245051304527,-0.0801492979985255,0.00770252235121875
2022-W45,2022-11-12,88.8842230856906,6,0.0411543071123297,-0.00634784291410965,-0.0370619551066421
2022-W46,2022-11-19,79.9577588787292,6,0.111639749939716,0.157388513607008,0.0646246367298497
2022-W47,2022-11-25,78.4983034149279,5,0.0185921911724239,0.132307568685461,0.125119858108988
2022-W48,2022-12-03,80.1406509368509,6,-0.0204933139764119,-0.00228213841519397,0.154747192818802
2022-W49,2022-12-10,71.3329038944199,6,0.123473832713545,0.100450130715463,0.246048011970023
2022-W50,2022-12-17,74.297814729558,6,-0.0399057609692872,0.078640754490029,0.0761791469880135
2022-W51,2022-12-24,79.5542051527624,6,-0.066073068206903,-0.103342133109818,-0.013272733173651
2022-W52,2022-12-31,80.25407221,6,-0.00872064230468231,-0.07421751091778,-0.00141327748269714
2023-W01,2023-01-07,73.7090557476243,6,0.0887952829674751,0.0793002887616904,-0.0322369053449852
2023-W02,2023-01-14,79.8863412080663,6,-0.0773259278999031,0.00460317741897754,-0.0699559698691519
2023-W03,2023-01-21,81.6192400265573,6,-0.0212314990672199,-0.0969156816010443,-0.0253008343758528
2023-W04,2023-01-28,79.4667324251934,6,0.0270869020994445,0.00528030749556634,0.00990779110677273
2023-W05,2023-02-04,73.2760467524862,6,0.0844844385999464,0.113859762416674,0.00590928433408489
2023-W06,2023-02-11,79.7901018260221,6,-0.0816398892150743,-0.00405275082282529,0.00120615690219363
2023-W07,2023-02-18,76.3632696020995,6,0.0448753994135998,-0.040428112438083,0.0688285147014364
2023-W08,2023-02-25,76.466196949779,6,-0.00134605030438665,0.043468944564173,0.0392400249404979
2023-W09,2023-03-04,79.7657312847514,6,-0.0413653116674068,-0.0426556821814325,-0.0813593059041615
2023-W10,2023-03-12,76.65,7,0.0406488099771869,-0.00239795238383545,0.0409667557210971
2023-W11,2023-03-19,66.285,7,0.156370219506676,0.203375292822681,0.152044498787048
2023-W12,2023-03-26,69.21,7,-0.0422626788036411,0.107498916341569,0.104843186675033
2023-W13,2023-04-02,75.685,7,-0.085551958776508,-0.124198982625355,0.0539173057376149
2023-W14,2023-04-09,80.465,6,-0.0594047101224135,-0.139874479587398,-0.0474119182253153
2023-W15,2023-04-16,82.68,7,-0.0267900338655056,-0.0846032897919691,-0.198294629898404
2023-W16,2023-04-23,77.95,7,0.0606799230275818,0.032264271969211,-0.112123155869147
2023-W17,2023-04-30,76.65666667,7,0.0168717658382888,0.0785754663182774,-0.0126755664211561
2023-W18,2023-05-07,71.355,7,0.0742998622381053,0.0924251979538925,0.127671501646696
2023-W19,2023-05-14,70.06333333,7,0.0184357010808523,0.0941053333695278,0.180075170140353
2023-W20,2023-05-21,71.91833333,7,-0.0257931450036287,-0.00783295863399831,0.0838682765675822
2023-W21,2023-05-28,72.89,7,-0.0133305895184525,-0.0387798966936479,0.0516760415694884
2023-W22,2023-06-04,71.85,7,0.0144745998608212,0.000951055393180258,-0.00688935281837147
2023-W23,2023-06-11,70.30666667,7,0.0219514507385761,0.0367437890652028,-0.00346102797252687
2023-W24,2023-06-18,71.10875,7,-0.0112796713484628,0.0104241742401602,0.011385143600471
2023-W25,2023-06-24,69.3929685263934,6,0.0247255811365668,0.0131670133589838,0.0503946083856678
2023-W26,2023-07-01,70.4707120570492,6,-0.015293495683473,0.00905394488471035,0.0195724990239096
2023-W27,2023-07-08,73.6729669763935,6,-0.0434658063977571,-0.0580945579587073,-0.0456924764204501
2023-W28,2023-07-15,75.2475085286886,6,-0.0209248330354325,-0.0634811246915661,-0.0550019344110326
2023-W29,2023-07-22,76.9013629114754,6,-0.021506177786351,-0.0419809976423737,-0.0976366881003818
2023-W30,2023-07-29,80.5987463740984,6,-0.0458739574615908,-0.0663935617630094,-0.125659948481581
2023-W31,2023-08-05,82.6283059532787,6,-0.0245625219561917,-0.0693096993304148,-0.108381006648605
2023-W32,2023-08-12,83.0897175881968,6,-0.00555317370561861,-0.0299792957107395,-0.0943824252523663
2023-W33,2023-08-19,81.3393715301639,6,0.0215190506774904,0.0158463779454797,-0.0545616290758124
2023-W34,2023-08-26,80.0058596044262,6,0.0166676782467064,0.0385454015370638,0.00741054183535547
2023-W35,2023-09-02,85.9169178572132,6,-0.0687997009228222,-0.053278753954567,-0.0382766512807156
2023-W36,2023-09-09,87.284446507377,6,-0.0156674952398111,-0.0833892771759245,-0.0480581488114923
2023-W37,2023-09-16,91.1529051488525,6,-0.042439224895337,-0.0574418037811191,-0.107660130005325
2023-W38,2023-09-23,90.3321478606557,6,0.00908599327741925,-0.0337388341300156,-0.11431465431508
2023-W39,2023-09-30,90.8637637234427,6,-0.00585069163990359,0.00318214229260724,-0.0544424494816874
2023-W40,2023-10-07,82.8033227457377,6,0.0973444145768875,0.0909241907844276,0.0541176804631303
2023-W41,2023-10-14,87.6831273891803,6,-0.0556527212103609,0.0362742118006933,0.0395717837968026
2023-W42,2023-10-20,90.3342983681855,5,-0.0293484426944841,-0.0833678432056106,-2.3806102096117e-05
2023-W43,2023-10-28,85.127741405082,6,0.0611616950851309,0.0300182518873434,0.0673813521148848
2023-W44,2023-11-04,80.8541332060656,6,0.0528557790375991,0.117250223163715,0.0241074817375687
2023-W45,2023-11-11,77.3112295770166,6,0.045826507331895,0.101104482115094,0.134157713813507
2023-W46,2023-11-18,75.7570512737569,6,0.020515295634244,0.0672819473119376,0.192420993812866
2023-W47,2023-11-24,76.4839538091855,5,-0.00950398742776938,0.0108163310946898,0.113014392763497
2023-W48,2023-12-02,74.3054276217679,6,0.0293185337483928,0.019535903344478,0.08813226427593
2023-W49,2023-12-09,71.2317211934807,6,0.0431508094538159,0.0737344616654508,0.0853483291106029
2023-W50,2023-12-16,71.5724922629282,6,-0.00476120166663494,0.0381841580812928,0.0584660234473372
2023-W51,2023-12-23,73.6329853845304,6,-0.0279832891582736,-0.0326112567419303,0.0387186314634206
2023-W52,2023-12-30,71.4720888412155,5,0.0302341316498477,0.00140479204316708,0.0396425909259075
2024-W01,2024-01-06,73.838552780663,5,-0.0320491647023081,-0.00278401171733767,-0.0353044783383813
2024-W02,2024-01-13,72.7603223699448,6,0.0148189339408928,-0.0177051652159996,-0.0163252452480509
2024-W03,2024-01-20,73.694023530442,6,-0.0126699712645154,0.00196120720917554,-0.000828264532012602
2024-W04,2024-01-27,78.0382976980663,6,-0.0556684896489218,-0.0676331427492464,-0.0841408519987933
2024-W05,2024-02-01,75.9390840074161,4,0.0276433896732965,-0.0295639657275143,-0.0276607395810553
