release_date,twap,pos_z,ret_4w,prob_state1,state
2023-12-08,71.2317211934807,0.0533642607053959,0.0853483291106029,0.9999,1
2023-12-15,71.5724922629282,0.0391862800388242,0.0584660234473372,0.9999,1
2023-12-22,73.6329853845304,-0.237688657997343,0.0387186314634206,0.9995,1
2023-12-29,71.4720888412155,-0.33294528095488,0.0396425909259075,0.9963,1
2024-01-05,73.838552780663,-0.190491615892463,-0.0353044783383813,0.9623,1
2024-01-12,72.7603223699448,-0.687529569298512,-0.0163252452480509,0.4232,2
2024-01-19,73.694023530442,-0.395479340168656,-0.000828264532012602,0.2983,2
2024-01-26,78.0382976980663,-1.13114402901417,-0.0841408519987933,0.2153,2
2024-02-02,75.9390840074161,-1.21521460258648,-0.0276607395810553,0.0283,2
2021-02-05,56.9473200735359,1.33984080301363,-0.0800521355249494,0.0737,2
