contract_code,delivery_month,expiry_date,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion
CLH23,2023-03,2023-02-21,26,CL_data_TWAP,FALSE,-0.2116,0.0166,-0.2204,-0.2343,-0.2281,-0.0077,-0.0349,-0.2072,-0.1956,-0.1468,0.0603,0.2912,-0.0165,0.0812
CLJ23,2023-04,2023-03-21,26,CL_data_TWAP,FALSE,-0.1444,0.0153,-0.1704,-0.202,-0.2317,-0.0613,-0.3596,-0.1985,-0.1239,-0.1275,0.071,0.3577,-0.0873,0.1042
CLK23,2023-05,2023-04-20,26,CL_data_TWAP,FALSE,0.0689,0.0649,0.08,0.0278,-0.0534,-0.1334,-1.6672,-0.0412,0.2367,0.1551,0.1963,4.7635,-0.1223,0.2085
CLM23,2023-06,2023-05-22,26,CL_data_TWAP,FALSE,0.0098,0.003,-0.0251,-0.0494,0.0123,0.0374,1.4913,-0.1691,0.0836,-0.095,0.0741,0.4381,0.0025,-0.1073
CLN23,2023-07,2023-06-20,26,CL_data_TWAP,FALSE,-0.1711,0.0098,-0.1834,-0.3463,-0.2243,-0.0409,-0.2232,-0.2313,0.0191,-0.158,0.0733,0.3167,-0.0533,0.0663
CLQ23,2023-08,2023-07-20,26,CL_data_TWAP,FALSE,0.1158,0.0515,0.1317,0.0874,0.068,-0.0637,-0.4835,0.0309,0.2874,0.4336,0.4027,13.0372,-0.0478,0.3656
CLU23,2023-09,2023-08-22,26,CL_data_TWAP,FALSE,0.5924,0.0709,0.4536,0.6117,0.6964,0.2428,0.5354,0.6925,0.2704,0.3999,-0.2926,-0.4225,0.104,-0.2965
CLV23,2023-10,2023-09-20,26,CL_data_TWAP,FALSE,0.6793,0.0392,0.6232,0.8074,1.1766,0.5534,0.888,0.7749,1.3005,1.5109,0.7361,0.9499,0.4973,0.3344
CLX23,2023-11,2023-10-20,26,CL_data_TWAP,FALSE,1.5635,0.2452,1.15,1.2225,1.0476,-0.1024,-0.089,1.0299,1.2059,0.7105,-0.3194,-0.3101,-0.5159,-0.3371
CLZ23,2023-12,2023-11-17,26,CL_data_TWAP,FALSE,0.13,0.1382,0.005,-0.0016,-0.1735,-0.1785,-35.6991,-0.1685,-3.1183,-0.1358,0.0328,0.1945,-0.3035,0.0377
