contract_code,expiry_date,delivery_month,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion,cftc_releasedate,cftc_cutoff_date,cftc_net_long,cftc_days_before_expiry,pos_z_full,pos_z_roll52,pos_pct_full,pos_pct_roll52,mm_chg,mm_chg_z,extreme_long,extreme_short,mm_long,mm_short,ls_ratio
CLQ19,2019-07-22,2019-08,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-07-12,2019-07-09,213112,10,0.9992,-0.0337,0.8128,0.4118,-6089,-0.3846,0,0,,,
CLQ20,2020-07-21,2020-08,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-07-10,2020-07-07,174309,11,0.4566,-1.5018,0.6716,0.1176,5350,0.3619,0,0,424344,63336,6.6999
CLQ21,2021-07-20,2021-08,26,CL_data_TWAP,FALSE,0.6869,0.0947,0.4801,0.3352,0.267,-0.2131,-0.4439,0.1248,0.6329,0.71,0.5852,4.688,-0.42,0.443,2021-07-09,2021-07-06,171472,11,0.4169,0.4155,0.6459,0.5882,5085,0.3446,0,0,,,
CLQ22,2022-07-20,2022-08,26,CL_data_TWAP,FALSE,2.813,0.3341,2.9695,3.0231,3.2307,0.2612,0.088,3.5746,2.7256,2.355,-1.2196,-0.3412,0.4177,-0.8757,2022-07-08,2022-07-05,88821,12,-0.7387,-0.8961,0.3156,0.1569,14878,0.9838,0,0,245861,54159,4.5396
CLQ23,2023-07-20,2023-08,26,CL_data_TWAP,FALSE,0.1158,0.0515,0.1317,0.0874,0.068,-0.0637,-0.4835,0.0309,0.2874,0.4336,0.4027,13.0372,-0.0478,0.3656,2023-07-07,2023-07-03,63401,13,-1.0942,-1.1249,0.1394,0.1765,-18767,-1.212,0,0,195740,117712,1.6629
CLQ24,2024-07-22,2024-08,26,regime_labels_daily,FALSE,1.1747,0.1212,1.0493,1.4539,1.7467,0.6974,0.6646,1.6856,1.0782,1.1217,-0.5639,-0.3346,0.572,-0.625,2024-07-12,2024-07-09,43882,10,-1.3671,-1.3869,0.0367,0.0392,-2861,-0.1739,0,1,271012,31000,8.7423
CLQ25,2025-07-22,2025-08,26,regime_labels_daily,FALSE,1.28,0.1125,1.2662,1.3168,1.2721,0.0059,0.0046,1.0598,0.7958,0.8343,-0.2255,-0.2128,-0.0079,-0.4378,2025-07-11,2025-07-08,63677,11,-1.0903,0.2028,0.1413,0.5882,3617,0.2488,0,0,196448,50751,3.8708
CLQ26,2026-07-21,2026-08,0,unavailable,FALSE,,,,,,,,,,,,,,,2026-06-19,2026-06-16,28255,32,-1.5856,-1.6832,0.0128,0.0196,-7321,-0.465,0,1,,,
CLU16,2016-08-22,2016-09,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-08-12,2016-08-09,183266,10,0.5818,,0.7101,,-19235,-1.2426,0,0,,,
CLU17,2017-08-22,2017-09,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-08-11,2017-08-08,195365,11,0.751,1.0734,0.756,0.8235,-1521,-0.0865,0,0,,,
CLU18,2018-08-21,2018-09,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-08-10,2018-08-07,229682,11,1.2308,-0.326,0.8697,0.4902,727,0.0602,0,0,,,
CLU19,2019-08-20,2019-09,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-08-09,2019-08-06,196992,11,0.7738,-0.6386,0.7633,0.2941,-9679,-0.6189,0,0,,,
CLU20,2020-08-20,2020-09,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-08-07,2020-08-04,174073,13,0.4533,-1.3872,0.6679,0.098,-6720,-0.4258,0,0,427869,65676,6.5148
CLU21,2021-08-20,2021-09,26,CL_data_TWAP,FALSE,0.2243,0.0151,0.215,0.2272,0.1969,-0.0181,-0.084,0.2,-0.1007,0.2716,0.0716,0.3582,-0.0273,0.0747,2021-08-13,2021-08-10,152871,7,0.1568,-0.8536,0.5761,0.2549,-17416,-1.1239,0,0,,,
CLU22,2022-08-22,2022-09,26,CL_data_TWAP,FALSE,0.6485,0.0747,0.4114,0.7203,1.185,0.7736,1.8807,0.321,0.4716,0.76,0.439,1.3674,0.5365,-0.425,2022-08-12,2022-08-09,60734,10,-1.1315,-1.7109,0.1248,0.0588,-14475,-0.9319,0,0,207962,58045,3.5828
CLU23,2023-08-22,2023-09,26,CL_data_TWAP,FALSE,0.5924,0.0709,0.4536,0.6117,0.6964,0.2428,0.5354,0.6925,0.2704,0.3999,-0.2926,-0.4225,0.104,-0.2965,2023-08-11,2023-08-08,50553,11,-1.2738,-1.6639,0.0679,0.0784,7629,0.5107,0,1,256368,50993,5.0275
