product,regime,tier,spread_target,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Backwardation-Deficit,tier2_freight,fly136,16,0.0149,-0.1406,0.182,0.5,0.5455,11,0,0.0116887747448058,0.00156089829896302,0,0,,0.000405195162735171,0,,-0.000872544867134043,-0.00236244290130376,-0.00108831169544446,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier3_full,m1m2,16,0.2354,-0.0017,0.1389,0.625,0.5455,11,0,0.0633867876652164,-0.00431745040208082,0,0,0,0.00439829297613373,0,0,-0.000733244929981884,0.00401340549438396,0.00145762373369254,0,0,0,-0.0106089847770279,0,-0.00168301127494896,0.000597623296043541,0,0.0182128100928793,-0.0167819676677068,-0.00835661228280042,0.00682195522381925,-0.0141949579276294,0.004845034506746,0.00594509935576428
CL,Backwardation-Deficit,tier3_full,m2m3,16,0.1669,-0.2529,0.1368,0.625,0.5455,11,0,0.0695376415846061,-0.00385486784569639,0,0,0,0.00215469264649552,0,0,0.000221958987900426,0.00257977808425419,0.00117881599469914,0,0,0,-0.00420700343994297,0,-0.00127273854198228,0.00076975992783237,0,0.010923243263027,-0.00977750183784535,-0.0020385599282395,0.0022980733341742,-0.00868472966752421,0.00473818933252666,0.00168101628181942
CL,Backwardation-Deficit,tier3_full,m1m6,16,0.096,-0.1114,0.5856,0.5625,0.4545,11,0,0.267830905173365,-0.010105200260963,0,0,0,0.00309212005735135,0,0,0.00030831833628515,0.00659723781103997,0.0028555328044252,0,0,0,-0.00751960875392549,0,-0.0025774322296377,0.00186678514955599,0,0.0248791611056313,-0.0215421580189372,-0.00857000605480089,0.00498981839908407,-0.0190009087554426,0.0116387490230788,0.00735871343315588
CL,Backwardation-Deficit,tier3_full,fly123,16,0.0029,-0.0681,0.0726,0.5,0.3636,11,0,-0.00322473546764898,3.69685460455087e-05,0,0,0,-1.71848718387677e-06,0,0,-3.95633516866665e-05,-4.64612722539628e-05,-2.72252106874806e-05,0,0,0,-0.000107285618727963,0,2.30594995176788e-06,-1.3612581437851e-05,0,3.05060933846617e-05,-5.16915993509423e-05,-0.000125917398227281,9.60912674956658e-05,-1.31075735911358e-05,-5.62209151300904e-05,6.5840759960764e-05
CL,Backwardation-Deficit,tier3_full,fly136,16,0.0797,-0.0216,0.1759,0.6875,0.7273,11,0,0.0109744263400608,0.00379025554145785,0,0,0,0.0003381827228964,0,0,-0.00195832265648165,-0.00577728399067879,-0.00256349731069504,0,0,0,-0.00831371595193518,0,-0.000696884825097298,-0.00100940102979135,0,0.00166213439789962,-0.0053659153915115,0.00355154558423182,0.00534080632710699,-0.00199411421153561,-0.00477148959411298,-0.000437639126605463
CL,Stable-Elevated,tier2_physical,m1m2,49,0,-0.0574,0.2058,0.5714,0.6207,29,1,0.00653926456695446,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,m2m3,49,0,-0.0574,0.2156,0.5918,0.6207,29,1,0.0160958637048894,0,0,0,0,1.71399608487569e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,m1m6,49,0,-0.104,0.7951,0.5714,0.6207,29,1,0.0836736370096204,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,fly123,49,0,-0.0851,0.1036,0.5306,0.4828,29,1,-0.00955659913793492,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,fly136,49,0,-0.2193,0.1791,0.551,0.5862,29,1,-0.0384033804659327,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,m1m2,49,0,-0.024,0.2058,0.5714,0.6207,29,1,0.00653926456695446,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,m2m3,49,0,-0.0915,0.2156,0.5918,0.6207,29,1,0.0160958637048894,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,m1m6,49,0,-0.0922,0.7951,0.5714,0.6207,29,1,0.0836736370096204,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,fly123,49,0,-0.119,0.1036,0.5306,0.4828,29,1,-0.00955659913793492,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,fly136,49,0,-0.1123,0.1791,0.551,0.5862,29,1,-0.0384033804659327,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier3_full,m1m2,49,0.0213,-0.071,0.2036,0.6122,0.6897,29,1,0.0107040603861693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00118304345009581,0,0,0,0,0,0,0,0
CL,Stable-Elevated,tier3_full,m2m3,49,0,-0.0731,0.2156,0.5918,0.6207,29,1,0.0160958637048894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Stable-Elevated,tier3_full,m1m6,49,0,-0.0586,0.7951,0.5714,0.6207,29,1,0.0836736370096204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Stable-Elevated,tier3_full,fly123,49,0,-0.2269,0.1036,0.5306,0.4828,29,1,-0.00955659913793492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Stable-Elevated,tier3_full,fly136,49,0,-0.0233,0.1791,0.551,0.5862,29,1,-0.0384033804659327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,ALL_REGIMES,tier2_physical,m1m2,269,0,-0.0133,0.2414,0.4907,0.4921,189,1,0.00641399125759555,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,m2m3,269,0,-0.0126,0.2176,0.5613,0.5503,189,1,0.0208481985485566,-4.53821138945183e-18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,m1m6,269,0,-0.0075,0.9612,0.5613,0.5661,189,1,0.104352126895816,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,fly123,269,0,-0.0104,0.1735,0.5576,0.5556,189,1,-0.014434207290961,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,fly136,269,0,-0.0135,0.4911,0.5651,0.582,189,1,-0.0498277472835115,0,0,0,0,3.41412601531026e-18,0,0,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,m1m2,269,0.0033,-9e-04,0.2411,0.5428,0.5503,189,1,0.00641399125759555,0,0,0,,0,0,,0,0.00894539328255125,0,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,m2m3,269,0,-0.0171,0.2176,0.5613,0.5503,189,1,0.0208481985485566,0,0,0,,0,0,,0,0,5.05364909645404e-18,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,m1m6,269,8e-04,-0.0026,0.9608,0.5613,0.5661,189,1,0.104352126895816,0,0,0,,0,0,,0,0.0115815158312688,0,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,fly123,269,0,-0.0155,0.1735,0.5576,0.5556,189,1,-0.014434207290961,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,fly136,269,0,-0.0072,0.4911,0.5651,0.582,189,1,-0.0498277472835115,0,0,0,,3.41412601531026e-18,0,,0,0,0,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier3_full,m1m2,269,0,-0.0133,0.2414,0.4907,0.4921,189,1,0.00641399125759555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,ALL_REGIMES,tier3_full,m2m3,269,0.0035,-0.0055,0.2172,0.5613,0.5503,189,1,0.0248758806390493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00779457900965852,0,0,0,0,0
CL,ALL_REGIMES,tier3_full,m1m6,269,0,-0.0349,0.9612,0.5613,0.5661,189,1,0.104352126895816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,ALL_REGIMES,tier3_full,fly123,269,0,-0.0481,0.1735,0.5576,0.5556,189,1,-0.014434207290961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,ALL_REGIMES,tier3_full,fly136,269,0,-0.0206,0.4911,0.5651,0.582,189,1,-0.0498277472835115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCO,Warm-Up,tier2_physical,m1m2,33,0.0122,-0.031,0.1908,0.5152,0.4643,28,0,0.0192835859056301,-0.00319978800582063,0,0,0,-0.00474596022069219,0,0,,,,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_physical,m2m3,33,0.0983,-0.0947,0.0772,0.5758,0.6071,28,0,-0.0161307945368305,0.00442704579634003,0,0,0,-0.034455710798768,0,0,,,,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_physical,m1m6,33,0.0468,-0.0394,0.3876,0.697,0.6786,28,0,0.0264560770946758,-0.000773009999007112,0,0,0,-0.0417456432441762,0,0,,,,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_physical,fly123,33,0.0303,-0.0594,0.1746,0.5758,0.5357,28,0,0.0027044863730528,-0.012999896010025,0,0,0,-0.00343875633831367,0,0,,,,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_physical,fly136,33,0.1275,-0.0336,0.1584,0.697,0.7143,28,0,0.0243324342253962,-0.0359204921928214,0,0,0,0.0269410249774507,0,0,,,,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_freight,m1m2,33,0.0276,-0.0728,0.1894,0.5152,0.4643,28,0,0.0110237504072516,-0.0079473965286699,0,0,,-0.0117648022622338,0,,0,0,0,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_freight,m2m3,33,0.0013,-0.1194,0.0812,0.5455,0.5357,28,0,0.013956241993406,2.05865893955631e-05,0,0,,-0.000238371865513281,0,,0,0,0,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_freight,m1m6,33,0.1078,-0.1332,0.375,0.7273,0.75,28,0,-0.0532658690594586,0.000189606671741483,0,0,,-0.128140858927937,0,,0,0,0,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_freight,fly123,33,4e-04,-0.0771,0.1773,0.5152,0.5,28,0,0.0105945624936557,-0.000153703351875056,0,0,,-4.73532332805221e-05,0,,0,0,0,,,,,,,,,,,,,,,
LCO,Warm-Up,tier2_freight,fly136,33,0.1257,0.0442,0.1586,0.697,0.7143,28,0,0.0239412466215534,-0.0348983703410699,0,0,,0.0261115055009812,0,,0,0,0,,,,,,,,,,,,,,,
LCO,Warm-Up,tier3_full,m1m2,33,0.0033,-0.0926,0.1917,0.5152,0.4643,28,0,0.0244732310128404,-0.000129078203467872,0,0,0,-0.000195121670238665,0,0,0,0,0,0,0,0,0,0,1.89556077765618e-05,3.57798189012835e-05,0,0.000356280720701687,-0.000465835334345155,-0.000224398558450529,-3.06165709288794e-05,-0.000229258023504111,-0.000430119236138431,-8.43993276122177e-05
LCO,Warm-Up,tier3_full,m2m3,33,0.0012,-0.0905,0.0812,0.5455,0.5357,28,0,0.0140820360132984,9.45806909603435e-06,0,0,0,-0.000113720437149555,0,0,0,0,0,0,0,0,0,0,-2.17532654556861e-05,-6.62728567853214e-06,0,-5.12850768165049e-05,-1.43908159833487e-05,9.64985991878851e-05,5.42623854810698e-05,1.89118306394861e-05,3.15165503271671e-05,9.16252458079143e-07
