date,M1M2,bp_regime,kf_z,kf_regime,ms_state,ms_regime,ms_prob_back,arima_z,arima_regime,n_models_back,consensus_regime
2023-10-30,0.625966386554637,flat,-0.000115448883811667,flat,1,flat,0.000100587478550609,-1.29542946607325,flat,0,contango_flat
2023-10-31,0.452000000000012,flat,-0.166614504151716,flat,1,flat,0.000113560989998457,-1.61524025678577,contango,0,contango_flat
2023-11-01,0.35799999999999,flat,-0.222938824097186,flat,1,flat,0.000189571450459708,,,0,contango_flat
2023-11-02,0.323703703703714,flat,-0.199118697723589,flat,1,flat,0.000258015759873613,,,0,contango_flat
2023-11-03,0.359078947368417,flat,-0.080297213716864,flat,1,flat,0.000365788820811798,,,0,contango_flat
2023-11-04,0.315000000000012,flat,-0.0763428670335168,flat,1,flat,0.000433858799266476,,,0,contango_flat
2023-11-06,0.254396135265708,flat,-0.0974839225047121,flat,3,contango,0.000297307684915692,,,0,contango_flat
2023-11-07,0.17602240896359,flat,-0.145919250961301,flat,3,contango,0.000103192026936605,,,0,contango_flat
2023-11-08,0.0431282051282125,flat,-0.27493665817725,flat,3,contango,1.81840265321125e-05,,,0,contango_flat
2023-11-09,-0.0061038961038804,flat,-0.290107253135252,flat,3,contango,2.99493026875388e-06,,,0,contango_flat
2023-11-10,0.00558620689653822,flat,-0.223935609717862,flat,3,contango,1.65894428699724e-06,,,0,contango_flat
2023-11-11,0.00500000000000966,flat,-0.179312146946919,flat,3,contango,1.6119190959061e-06,,,0,contango_flat
2023-11-13,0.0637556561085972,flat,-0.0532889252479486,flat,3,contango,2.36291767203847e-06,,,0,contango_flat
2023-11-14,0.0645833333333314,flat,-0.010691036108146,flat,3,contango,1.79354414953445e-05,,,0,contango_flat
2023-11-15,-0.123928571428564,flat,-0.237992972615226,flat,3,contango,0.000370671807542469,,,0,contango_flat
2023-11-16,-0.182924999999997,flat,-0.284491391811885,flat,3,contango,0.00670673505231324,,,0,contango_flat
2023-11-17,-0.21905555555557,flat,-0.30260366848568,flat,3,contango,0.091873075365607,,,0,contango_flat
2023-11-18,-3.11833333333334,flat,-4.40365127983896,contango,2,backwardation,1,,,1,transitional
2023-11-20,-0.268970398970396,flat,-0.320761943438412,flat,3,contango,0.127294463007953,,,0,contango_flat
2023-11-21,-0.115600000000015,flat,-0.0824961817644706,flat,3,contango,0.00685026346004849,,,0,contango_flat
2023-11-22,-0.122354679802953,flat,-0.0733396154837723,flat,3,contango,0.000387248286242175,,,0,contango_flat
2023-11-23,-0.169333333333313,flat,-0.122347019832981,flat,3,contango,3.19370310546387e-05,,,0,contango_flat
2023-11-24,-0.289999999999992,flat,-0.27771879845031,flat,3,contango,1.11716613710049e-05,,,0,contango_flat
2023-11-27,-0.224499999999992,flat,-0.170924359122289,flat,3,contango,4.58969731491829e-06,,,0,contango_flat
2023-11-28,-0.157631160572336,flat,-0.0639892381910649,flat,3,contango,2.61037910668282e-06,,,0,contango_flat
2023-11-29,-0.0986324786324815,flat,0.0310749976944405,flat,3,contango,1.93958058299542e-06,,,0,contango_flat
2023-11-30,-0.087619047619043,flat,0.0580948910248476,flat,3,contango,1.88430686302848e-06,,,0,contango_flat
2023-12-01,-0.177692307692297,flat,-0.0583157322696641,flat,3,contango,2.78059583575488e-06,,,0,contango_flat
2023-12-02,-0.170000000000016,flat,-0.03601489932472,flat,3,contango,2.86740441971118e-06,,,0,contango_flat
2023-12-04,-0.254015151515148,flat,-0.144696151440526,flat,3,contango,4.94252899130798e-06,,,0,contango_flat
2023-12-05,-0.224523809523802,flat,-0.0930112525620144,flat,3,contango,4.26984275016001e-06,,,0,contango_flat
2023-12-06,-0.254476190476183,flat,-0.126842753890228,flat,3,contango,5.305087595908e-06,,,0,contango_flat
2023-12-07,-0.268666666666647,flat,-0.1393430193766,flat,3,contango,5.79236140232982e-06,,,0,contango_flat
2023-12-08,-0.203571428571422,flat,-0.0401343762141282,flat,3,contango,3.59550937957042e-06,,,0,contango_flat
2023-12-09,-0.183333333333323,flat,-0.0051873364672384,flat,3,contango,3.11456480802569e-06,,,0,contango_flat
2023-12-11,-0.234444444444435,flat,-0.0719280435984876,flat,3,contango,4.43486097899167e-06,,,0,contango_flat
2023-12-12,-0.265873015873041,flat,-0.11128643765837,flat,3,contango,5.75155188324085e-06,,,0,contango_flat
2023-12-13,-0.239444444444445,flat,-0.0693117382934736,flat,3,contango,5.16191078019547e-06,,,0,contango_flat
2023-12-14,-0.285499999999999,flat,-0.131305071649716,flat,3,contango,8.24030297370707e-06,,,0,contango_flat
2023-12-15,-0.340714285714284,flat,-0.207758784544007,flat,3,contango,1.4169085133818e-05,,,0,contango_flat
2023-12-16,-0.310833333333349,flat,-0.164849147207828,flat,3,contango,1.30698921127189e-05,,,0,contango_flat
2023-12-18,-0.364117647058833,flat,-0.242331558408919,flat,3,contango,1.89324567872276e-05,,,0,contango_flat
2023-12-19,-0.316077468630652,flat,-0.177520871696639,flat,3,contango,1.18182696376286e-05,,,0,contango_flat
2023-12-20,-0.251831364124598,flat,-0.0918370600583363,flat,3,contango,5.71397733102142e-06,,,0,contango_flat
2023-12-21,-0.169210526315808,flat,0.018771361077544,flat,3,contango,2.8851028907639e-06,0.0211700382926206,flat,0,contango_flat
2023-12-22,-0.151166253101735,flat,0.0376588862574186,flat,3,contango,2.45525566389999e-06,0.0821207938730457,flat,0,contango_flat
2023-12-23,-0.155000000000015,flat,0.0259645770175318,flat,3,contango,2.46473178967098e-06,0.0982396676591747,flat,0,contango_flat
2023-12-26,-0.134871794871799,flat,0.0488510998132011,flat,3,contango,2.30143719403172e-06,0.165931013552441,flat,0,contango_flat
2023-12-27,-0.202184873949577,flat,-0.0518813806778757,flat,3,contango,3.30731351769691e-06,0.0511342968594232,flat,0,contango_flat
2023-12-28,-0.208518518518517,flat,-0.0668345406866469,flat,3,contango,3.49935771775468e-06,0.0613190797904273,flat,0,contango_flat
2023-12-29,-0.187116935483886,flat,-0.0437705444374167,flat,3,contango,3.11628400685082e-06,0.126672195921791,flat,0,contango_flat
2023-12-30,-0.210000000000008,flat,-0.08485799818449,flat,3,contango,3.64151583448797e-06,0.0902134554027394,flat,0,contango_flat
2024-01-02,-0.245284090909067,flat,-0.145826035808857,flat,3,contango,4.5599529995639e-06,0.0255018018250941,flat,0,contango_flat
2024-01-03,-0.177111969111991,flat,-0.063706228013298,flat,3,contango,2.94212834917942e-06,0.184615937909192,flat,0,contango_flat
2024-01-04,-0.166298701298715,flat,-0.0654354039329074,flat,3,contango,2.60354059982736e-06,0.217890564947124,flat,0,contango_flat
2024-01-05,-0.0220833333333275,flat,0.120469029764904,flat,3,contango,1.63817645158203e-06,0.541645373770993,flat,0,contango_flat
2024-01-06,-0.0383333333333411,flat,0.0828686250959315,flat,3,contango,1.65479444737376e-06,0.51275231362223,flat,0,contango_flat
2024-01-08,-0.144370370370353,flat,-0.0787565019143754,flat,3,contango,2.2576498716859e-06,0.278758925588784,flat,0,contango_flat
2024-01-09,0.00307359307359434,flat,0.116328888722583,flat,3,contango,1.6005689375382e-06,0.593929778826632,flat,0,contango_flat
2024-01-10,-0.0589950980392047,flat,0.0200567730904326,flat,3,contango,1.695418683506e-06,0.447514582040471,flat,0,contango_flat
2024-01-11,-0.0777667493796628,flat,-0.0131728641735618,flat,3,contango,1.78933991592629e-06,1.33854883897774,flat,0,contango_flat
2024-01-12,-0.123308270676688,flat,-0.0855312582858533,flat,3,contango,2.0845646095257e-06,0.763990986204908,flat,0,contango_flat
2024-01-13,-0.108333333333334,flat,-0.0793932247309161,flat,3,contango,2.00015678551077e-06,0.937419136986412,flat,0,contango_flat
2024-01-15,-0.145757575757571,flat,-0.158926260001925,flat,3,contango,2.3224446552536e-06,0.504060540173493,flat,0,contango_flat
2024-01-16,-0.120999999999995,flat,-0.177626695237096,flat,3,contango,2.16298104198319e-06,0.778956726713437,flat,0,contango_flat
2024-01-17,0.0638815789473739,flat,-0.00494747744235757,flat,3,contango,2.34882383749343e-06,2.65082437389176,backwardation,1,transitional
2024-01-18,0.178055555555545,flat,0.0658526553393964,flat,3,contango,6.55703639927804e-06,3.27234655148181,backwardation,1,transitional
2024-01-19,0.19674922600619,flat,0.0171398362894001,flat,3,contango,2.21323986041406e-05,2.98324418003406,backwardation,1,transitional
2024-01-20,0.530803571428578,flat,0.422404038250764,flat,3,contango,0.000114838443237399,4.24268487315515,backwardation,1,transitional
2024-01-22,0.284072727272715,flat,0.098918242012521,flat,3,contango,2.61526628975561e-05,2.4469665831873,backwardation,1,transitional
2024-01-23,0.10499999999999,flat,-0.105437160766545,flat,3,contango,5.45153201670164e-06,1.34122278518701,flat,0,contango_flat
2024-01-24,0.0947670250896095,flat,-0.0941166143449545,flat,3,contango,2.26132649121741e-06,1.22589018584311,flat,0,contango_flat
2024-01-25,0.166983333333349,flat,0.0127669918054567,flat,3,contango,2.43704406404473e-06,1.5373043165885,backwardation,1,transitional
2024-01-26,0.164999999999992,flat,0.0167890237774555,flat,3,contango,2.40260343668047e-06,1.44532504365334,flat,0,contango_flat
2024-01-27,0.159999999999997,flat,0.0201024542105444,flat,3,contango,2.32017758492107e-06,1.34703542257122,flat,0,contango_flat
2024-01-29,0.125000000000014,flat,-0.0151769240013862,flat,3,contango,2.06899288374658e-06,1.10960743075344,flat,0,contango_flat
2024-01-30,0.194108108108111,flat,0.0947685601634736,flat,3,contango,2.73705182042695e-06,1.39409047325661,flat,0,contango_flat
2024-01-31,0.154599999999988,flat,0.0685703857431752,flat,3,contango,2.25589795840837e-06,1.13746847581694,flat,0,contango_flat
