product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
HO,tier2_freight,fly123,Easing-Backwardation,Lasso,47,8e-04,0.0534,0.652,0.5745,0.5714,28,1,2,1.4166
HO,tier2_freight,fly123,Stable-Elevated,Lasso,94,-0.0368,0,0.5785,0.5319,0.5571,70,,,
HO,tier2_freight,fly123,Warm-Up,Lasso,68,-0.0526,0,1.3541,0.6176,0.5833,48,,,
HO,tier2_physical,fly123,ALL_REGIMES,Lasso,269,0.0054,0.0156,2.2562,0.5316,0.545,189,0.6364,11,3.1989
HO,tier2_physical,fly123,Deep-Backwardation,Ridge,18,-0.1074,1e-04,6.8016,0.5,0.5333,15,0.6667,9,3.5117
HO,tier2_physical,fly123,Deep-Contango,Ridge,19,-0.014,5e-04,0.1034,0.7895,0.8462,13,,,
HO,tier2_physical,fly123,Easing-Backwardation,Lasso,47,-0.0394,0,0.6702,0.5532,0.5,28,0.5,2,0.8874
HO,tier2_physical,fly123,Stable-Elevated,Lasso,94,-0.0159,0.0553,0.5623,0.5106,0.5143,70,,,
HO,tier2_physical,fly123,Warm-Up,Lasso,68,-0.0494,0,1.3541,0.6176,0.5833,48,,,
HO,tier3_full,fly123,ALL_REGIMES,Lasso,269,-0.0013,0,2.274,0.4312,0.4392,189,0.6364,11,3.1796
HO,tier3_full,fly123,Deep-Backwardation,Ridge,18,-0.1651,0.003,6.7916,0.5,0.5333,15,0.6667,9,3.4902
HO,tier3_full,fly123,Deep-Contango,Ridge,19,-0.1765,0.0017,0.1033,0.7895,0.8462,13,,,
HO,tier3_full,fly123,Easing-Backwardation,Lasso,47,-0.0951,0,0.6702,0.5532,0.5,28,0.5,2,0.8874
HO,tier3_full,fly123,Stable-Elevated,Lasso,94,-0.0147,0,0.5785,0.5319,0.5571,70,,,
HO,tier3_full,fly123,Warm-Up,Lasso,68,-0.1123,0,1.3541,0.6176,0.5833,48,,,
HO,tier2_freight,fly136,ALL_REGIMES,Lasso,269,-0.0046,0.0088,2.4839,0.4944,0.5079,189,0.5455,11,8.3474
HO,tier2_freight,fly136,Deep-Backwardation,Ridge,18,-0.0471,0.0171,7.418,0.5,0.5333,15,0.5556,9,9.0725
HO,tier2_freight,fly136,Deep-Contango,Ridge,19,-0.1897,0.0062,0.2155,0.5789,0.6154,13,,,
HO,tier2_freight,fly136,Easing-Backwardation,Lasso,47,-0.0937,0,1.1338,0.6383,0.5357,28,0.5,2,3.5831
