product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_crude_stocks_5yr_dev_z,coef_cushing_stocks_5yr_dev_z,coef_cftc_net_mm_zscore,coef_cftc_mm_net_chg_z,coef_td3c_z52,coef_td3c_wow_ws_z,coef_bdi_z52,coef_dxy_z,coef_dxy_4wk_chg_z,coef_sofr_z,coef_opec_prod_z,coef_rig_chg_wow_z,coef_refinery_util_dev,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_gasoil_crack_dev_z,coef_sin_ann,coef_cos_ann,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sx_cushing,coef_sx_td3c,coef_sx_cftc,coef_sx_5yr_dev,coef_sx_util
CL,ALL_REGIMES,sfm_t2_eia_full,m2m3,OLS,206,,,,,,189,0.0193714017061808,-0.0141787680205638,,,,,0.0142557685096993,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t2_eia_full,m1m6,OLS,206,,,,,,189,0.0948252004646129,-0.0215737645701243,,,,,0.00106531828744753,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t2_eia_full,fly123,OLS,206,,,,,,189,-0.0154053882532622,0.00185192350347181,,,,,0.00609175880095185,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t2_eia_full,fly136,OLS,206,,,,,,189,-0.0481503701464142,-0.031437460505187,,,,,0.0681412733532532,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t3_structural_only,m1m2,Lasso,206,0,-0.0144,0.2502,0.5,0.5,206,0.00350189951445394,,,,,,,0,0,0,0,0,2.04043801433382e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,ALL_REGIMES,sfm_t3_structural_only,m2m3,Lasso,206,0,-0.0101,0.2191,0.568,0.568,206,0.0190185546270784,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,ALL_REGIMES,sfm_t3_structural_only,m1m6,Lasso,206,0,-0.0221,0.9994,0.5728,0.5728,206,0.0946963718910956,,,,,,,0,0,0,0,0,0,0,0,2.66980211044329e-17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,ALL_REGIMES,sfm_t3_structural_only,fly123,Lasso,206,0,-0.0441,0.1703,0.5485,0.5485,206,-0.0155166551126244,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,ALL_REGIMES,sfm_t3_structural_only,fly136,Lasso,206,0,-0.0235,0.5244,0.5777,0.5777,206,-0.049655463608031,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,ALL_REGIMES,sfm_t4_combined,m1m2,Lasso,206,0,-0.0227,0.2502,0.5,0.4921,189,0.00350189951445394,0,0,0,0,0,0,0,0,0,0,0,2.04043801433382e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,ALL_REGIMES,sfm_t4_combined,m2m3,Lasso,206,0.0192,4e-04,0.217,0.5971,0.5873,189,0.0242682007419369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110622151773388,0,0,0,0,0,0,0,0,0,0,-0.0116490364321061,0,0,0,0,0,0
