product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Stable-Elevated,tier3_full,fly136,Ridge,35,0.1101,-0.0116,0.1862,0.6,0.5862,29,0,-0.0525099721970571,0.00320542686606462,0,0,0,0.00805737222885914,0,0,2.9836127819004e-05,-0.00201486652141945,-0.000479143158047217,0,0,0,-0.00110670927557747,0,0.00164927009191893,-0.00146294834923514,0,-0.00599754107654863,0.00556005638580028,0.00590502537479985,-0.0015951681788272,0.00559073754008327,-0.00370033753782003,-0.00356282072240852
CL,ALL_REGIMES,tier1_baseline,m1m2,OLS,184,0.0034,-0.0021,0.1208,0.5054,0.4911,169,,0.00763856002647321,-0.00611068497691236,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier1_baseline,m2m3,OLS,184,0.0063,9e-04,0.099,0.5761,0.5536,168,,0.0252710028756557,-0.00689382907543413,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier1_baseline,m1m6,OLS,184,0.0182,0.0128,0.4202,0.5761,0.5655,168,,0.102944844688794,-0.0499681680982227,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier1_baseline,fly123,OLS,184,0.0027,-0.0027,0.0697,0.5489,0.5595,168,,-0.00927554962257743,0.00317735039007825,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier1_baseline,fly136,OLS,184,0,-0.0055,0.1404,0.587,0.5917,169,,-0.0210675531667515,-1.27906401667228e-05,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,m1m2,OLS,184,,,,,,169,,0.0076187441770007,-0.00718584902712194,,,,0.00286440523547621,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,m2m3,OLS,184,,,,,,168,,0.0252402310689258,-0.00386991893864498,,,,-0.00755244637687881,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,m1m6,OLS,184,,,,,,168,,0.103339636926072,-0.0426847332473455,,,,-0.0182860373474704,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,fly123,OLS,184,,,,,,168,,-0.00933601947470691,0.00100393735526897,,,,0.00577863053138012,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_physical,fly136,OLS,184,,,,,,169,,-0.0209885331892547,-0.00215664746756551,,,,0.00533281028108737,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,m1m2,OLS,184,,,,,,169,,0.00897635238151368,-0.00904639280061281,,,,0.00444861963113252,,,0.00921916084399804,0.0183678640709594,-0.00644350654527622,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,m2m3,OLS,184,,,,,,168,,0.0251502164609949,-0.00384489109945062,,,,-0.00791021353320777,,,-0.0124222839641902,0.0230217609255376,0.00971817896034362,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,m1m6,OLS,184,,,,,,168,,0.110445951143041,-0.0509815969852709,,,,-0.00991375454106018,,,0.0260594731937078,0.09426976486932,-0.0273941278285478,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,fly123,OLS,184,,,,,,168,,-0.0097054567445322,0.00159818205275538,,,,0.00533562280283699,,,-0.000237639885331063,-0.00663834785708792,0.00277277487478063,,,,,,,,,,,,,,,
CL,ALL_REGIMES,tier2_freight,fly136,OLS,184,,,,,,169,,-0.0221198740325223,-7.38026104305832e-06,,,,0.00358011322601579,,,-0.00987314710904905,-0.0105877660767995,0.0139163081146626,,,,,,,,,,,,,,,
