signal,horizon,regime,ic,n_bars,product
open_gap,fwd_ret_4,Deep-Contango,0.0242213604244102,6848,CL
open_gap,fwd_ret_4,Contango-Surplus,-0.0144057009902226,5362,CL
open_gap,fwd_ret_4,Easing-Contango,-0.0457195832923138,1373,CL
open_gap,fwd_ret_4,Stable-Depressed,-0.0178343899473304,808,CL
open_gap,fwd_ret_8,ALL,0.000388142456400269,46248,CL
open_gap,fwd_ret_8,Stable-Elevated,0.035211379813139,3863,CL
open_gap,fwd_ret_8,Backwardation-Deficit,0.0331327294912211,4430,CL
open_gap,fwd_ret_8,Transition-Tightening,-0.0214252947671143,1997,CL
open_gap,fwd_ret_8,Deep-Backwardation,-0.0257979567070626,8450,CL
open_gap,fwd_ret_8,Easing-Backwardation,-0.0158761240835066,11121,CL
open_gap,fwd_ret_8,Transition-Loosening,0.0390351768459333,1996,CL
open_gap,fwd_ret_8,Deep-Contango,0.0442132033615566,6848,CL
open_gap,fwd_ret_8,Contango-Surplus,-0.0122427407146704,5362,CL
open_gap,fwd_ret_8,Easing-Contango,-0.0755788340078565,1373,CL
open_gap,fwd_ret_8,Stable-Depressed,-0.0139789613275288,808,CL
z_long,fwd_ret_1,ALL,-0.027351212383605,65129,WTCL_LCO
z_long,fwd_ret_1,Warm-Up,-0.0276521515383036,27857,WTCL_LCO
z_long,fwd_ret_1,Stable-Elevated,-0.0367679482998068,13293,WTCL_LCO
z_long,fwd_ret_1,Easing-Backwardation,-0.0300196503738209,10341,WTCL_LCO
z_long,fwd_ret_1,Deep-Backwardation,-0.0416030025170769,4908,WTCL_LCO
z_long,fwd_ret_1,Backwardation-Deficit,-0.159183009221645,155,WTCL_LCO
z_long,fwd_ret_1,Transition-Tightening,-0.0468404652433753,1151,WTCL_LCO
z_long,fwd_ret_1,Transition-Loosening,-0.0033134435795565,1793,WTCL_LCO
z_long,fwd_ret_1,Contango-Surplus,-0.0479771581272691,1584,WTCL_LCO
z_long,fwd_ret_1,Deep-Contango,0.00639044225407163,3501,WTCL_LCO
z_long,fwd_ret_1,Easing-Contango,-0.156030447832814,85,WTCL_LCO
z_long,fwd_ret_1,Stable-Depressed,-0.0437664750133911,263,WTCL_LCO
z_long,fwd_ret_4,ALL,-0.0474998566150569,65129,WTCL_LCO
z_long,fwd_ret_4,Warm-Up,-0.0464701299794899,27857,WTCL_LCO
z_long,fwd_ret_4,Stable-Elevated,-0.0507659181435927,13293,WTCL_LCO
z_long,fwd_ret_4,Easing-Backwardation,-0.0647737060651589,10341,WTCL_LCO
z_long,fwd_ret_4,Deep-Backwardation,-0.0931884121588996,4908,WTCL_LCO
z_long,fwd_ret_4,Backwardation-Deficit,-0.0908641211436859,155,WTCL_LCO
z_long,fwd_ret_4,Transition-Tightening,-0.108580756730256,1151,WTCL_LCO
z_long,fwd_ret_4,Transition-Loosening,-0.00457096939489732,1793,WTCL_LCO
z_long,fwd_ret_4,Contango-Surplus,-0.0640534061762456,1584,WTCL_LCO
z_long,fwd_ret_4,Deep-Contango,-0.00482103536835679,3501,WTCL_LCO
z_long,fwd_ret_4,Easing-Contango,-0.406449248930367,85,WTCL_LCO
z_long,fwd_ret_4,Stable-Depressed,-0.0809343690877955,263,WTCL_LCO
z_long,fwd_ret_8,ALL,-0.0489207653607234,65129,WTCL_LCO
z_long,fwd_ret_8,Warm-Up,-0.0464794941282539,27857,WTCL_LCO
z_long,fwd_ret_8,Stable-Elevated,-0.0545259918439878,13293,WTCL_LCO
z_long,fwd_ret_8,Easing-Backwardation,-0.0674896855622894,10341,WTCL_LCO
