product,window,entry_time,exit_time,trade_date,direction,entry_px,exit_px,stop_px,target_px,atr_entry,exit_reason,pnl_raw,pnl_net,regime,signal_z,confidence
CL,test,2025-07-17T15:00:00Z,2025-07-17T15:45:00Z,2025-07-17,-1,1.30823529411764,1.3241215360277,1.3241215360277,1.28281730706154,0.0127089935280479,stop,-0.0158862419100598,-0.0558862419100598,Deep-Backwardation,1.2524955015462,1
CL,test,2025-07-17T16:15:00Z,2025-07-17T17:00:00Z,2025-07-17,-1,1.38642857142857,1.3455631948159,1.38642857142857,1.3455631948159,0.0204326883063343,target,0.0408653766126685,0.000865376612668535,Deep-Backwardation,1.82354481720026,1
CL,test,2025-07-17T17:15:00Z,2025-07-17T17:45:00Z,2025-07-17,-1,1.31433333333334,1.25493464919871,1.31433333333334,1.25493464919871,0.029699342067315,target,0.0593986841346301,0.0193986841346301,Deep-Backwardation,1.07297587693034,1
CL,test,2025-07-17T19:30:00Z,2025-07-17T20:45:00Z,2025-07-17,-1,1.3474019607843,1.3474019607843,1.3474019607843,1.27621862451267,0.0355916681358164,stop,0,-0.04,Deep-Backwardation,1.10235652933307,1
CL,test,2025-07-18T13:30:00Z,2025-07-18T14:30:00Z,2025-07-18,-1,1.39722222222223,1.36617886114955,1.39722222222223,1.36617886114955,0.0155216805363421,target,0.0310433610726841,-0.00895663892731587,Deep-Backwardation,2.36569983141554,1
CL,test,2025-07-18T15:00:00Z,2025-07-18T16:00:00Z,2025-07-18,-1,1.36815,1.38803266051951,1.38803266051951,1.33633774316878,0.0159061284156086,stop,-0.0198826605195108,-0.0598826605195108,Deep-Backwardation,1.28813549734622,1
CL,test,2025-07-18T16:30:00Z,2025-07-18T16:45:00Z,2025-07-18,-1,1.41336538461537,1.38237961314549,1.41336538461537,1.38237961314549,0.01549288573494,target,0.03098577146988,-0.00901422853011998,Deep-Backwardation,2.04510848917918,1
CL,test,2025-07-18T17:15:00Z,2025-07-18T17:45:00Z,2025-07-18,-1,1.37361111111112,1.34217465597146,1.37361111111112,1.34217465597146,0.0157182275698301,target,0.0314364551396602,-0.0085635448603398,Deep-Backwardation,1.43322217252406,1
CL,test,2025-07-21T18:15:00Z,2025-07-21T23:00:00Z,2025-07-21,1,1.2720172413793,1.2720172413793,1.2720172413793,1.34012904441578,0.0340559015182393,stop,0,-0.04,Deep-Backwardation,-1.25616160560828,1
CL,test,2025-07-30T13:00:00Z,2025-07-30T13:45:00Z,2025-07-30,-1,1.02871428571429,0.985372044508837,1.02871428571429,0.985372044508837,0.0216711206027263,target,0.0433422412054526,0.0033422412054526,Deep-Backwardation,1.93396437969572,1
CL,test,2025-07-30T14:00:00Z,2025-07-30T15:45:00Z,2025-07-30,-1,0.973511904761907,0.973511904761907,0.973511904761907,0.929360024149698,0.0220759403061046,stop,0,-0.04,Deep-Backwardation,1.15087360804133,1
CL,test,2025-07-30T16:15:00Z,2025-07-30T17:30:00Z,2025-07-30,-1,0.983000000000004,1.00556348164821,1.00556348164821,0.94689842936287,0.0180507853185672,stop,-0.0225634816482091,-0.0625634816482091,Deep-Backwardation,1.149388579636,1
CL,test,2025-07-30T17:45:00Z,2025-07-30T19:15:00Z,2025-07-30,-1,1.0177894736842,1.04612811961511,1.04612811961511,0.972447640194748,0.0226709167447259,stop,-0.0283386459309074,-0.0683386459309074,Deep-Backwardation,1.62971227757822,1
CL,test,2025-08-01T17:00:00Z,2025-08-01T17:45:00Z,2025-08-01,-1,1.24874999999999,1.1846719894846,1.24874999999999,1.1846719894846,0.0320390052576957,target,0.0640780105153913,0.0240780105153913,Deep-Backwardation,3.17880738716141,1
CL,test,2025-08-01T18:00:00Z,2025-08-01T19:45:00Z,2025-08-01,-1,1.17911764705882,1.17911764705882,1.17911764705882,1.10264002996286,0.0382388085479786,stop,0,-0.04,Deep-Backwardation,1.59492452910581,1
CL,test,2026-03-05T13:00:00Z,2026-03-05T13:15:00Z,2026-03-05,-1,1.48499999999999,1.43023776177137,1.48499999999999,1.43023776177137,0.0273811191143115,target,0.0547622382286228,0.0147622382286228,Deep-Backwardation,1.02649267773679,1
CL,test,2026-03-06T15:00:00Z,2026-03-06T15:15:00Z,2026-03-06,-1,3.10750000000002,2.88415501958361,3.10750000000002,2.88415501958361,0.111672490208204,target,0.223344980416407,0.183344980416407,Deep-Backwardation,2.31164828583031,1
CL,test,2026-03-06T15:45:00Z,2026-03-06T16:45:00Z,2026-03-06,-1,2.82600000000001,2.82600000000001,2.82600000000001,2.57227179962895,0.126864100185529,stop,0,-0.04,Deep-Backwardation,1.85030004775674,1
CL,test,2026-03-06T17:15:00Z,2026-03-06T18:45:00Z,2026-03-06,-1,2.98238095238096,3.19094306239397,3.19094306239397,2.64868157636015,0.166849688010406,stop,-0.208562110013008,-0.248562110013008,Deep-Backwardation,1.91076595578612,1
CL,test,2026-03-06T19:00:00Z,2026-03-06T19:30:00Z,2026-03-06,-1,3.34916666666666,3.52496953443382,3.52496953443382,3.06788207823921,0.140642294213727,stop,-0.175802867767159,-0.215802867767159,Deep-Backwardation,2.21233561071207,1
CL,test,2026-03-24T19:00:00Z,2026-03-24T20:00:00Z,2026-03-24,1,2.6125,2.76363512677799,2.6125,2.76363512677799,0.0755675633889971,target,0.151135126777994,0.111135126777994,Deep-Backwardation,-1.02491859492713,1
CL,test,2026-03-25T13:15:00Z,2026-03-25T15:00:00Z,2026-03-25,1,2.16266666666667,2.16266666666667,2.16266666666667,2.28949376417236,0.0634135487528435,stop,0,-0.04,Deep-Backwardation,-2.16549004635208,1
CL,test,2026-03-25T15:15:00Z,2026-03-25T17:00:00Z,2026-03-25,1,2.13333333333333,2.13333333333333,2.13333333333333,2.30642687074832,0.0865467687074928,stop,0,-0.04,Deep-Backwardation,-1.91661878653136,1
CL,test,2026-03-25T17:15:00Z,2026-03-25T17:45:00Z,2026-03-25,1,2.11666666666667,2.27592006802721,2.11666666666667,2.27592006802721,0.0796267006802692,target,0.159253401360538,0.119253401360538,Deep-Backwardation,-2.06143771774156,1
CL,test,2026-03-26T13:15:00Z,2026-03-26T14:15:00Z,2026-03-26,-1,3.00100000000001,2.91511897626184,3.00100000000001,2.91511897626184,0.042940511869085,target,0.0858810237381702,0.0458810237381702,Deep-Backwardation,1.32866141762696,1
CL,test,2026-03-26T15:00:00Z,2026-03-26T16:15:00Z,2026-03-26,-1,2.91250000000001,2.96894369023834,2.96894369023834,2.82219009561868,0.0451549521906672,stop,-0.0564436902383338,-0.0964436902383338,Deep-Backwardation,1.05179713135287,1
CL,test,2026-03-26T17:00:00Z,2026-03-26T18:15:00Z,2026-03-26,-1,3.08299999999998,3.08299999999998,3.08299999999998,2.99293300350441,0.0450334982477836,stop,0,-0.04,Deep-Backwardation,1.42154731020926,1
CL,test,2026-03-26T18:45:00Z,2026-03-26T20:15:00Z,2026-03-26,-1,3.18749999999999,3.27754728406513,3.27754728406513,3.04342434549576,0.0720378272521158,stop,-0.0900472840651445,-0.130047284065145,Deep-Backwardation,1.62687612722621,1
CL,test,2026-03-27T13:30:00Z,2026-03-27T14:45:00Z,2026-03-27,-1,3.53500000000001,3.59579943865659,3.59579943865659,3.43772089814947,0.0486395509252679,stop,-0.0607994386565847,-0.100799438656585,Deep-Backwardation,1.92008448503189,1
CL,test,2026-03-27T15:45:00Z,2026-03-27T16:30:00Z,2026-03-27,-1,3.71666666666665,3.77360614248612,3.77360614248612,3.6255635053555,0.0455515806555743,stop,-0.0569394758194677,-0.0969394758194677,Deep-Backwardation,2.2596809035155,1
CL,test,2026-03-27T19:15:00Z,2026-03-27T20:00:00Z,2026-03-27,-1,4.4352777777778,4.54942851467893,4.54942851467893,4.252636598736,0.0913205895209013,stop,-0.114150736901126,-0.154150736901126,Deep-Backwardation,3.14258768830957,1
CL,test,2026-03-30T13:30:00Z,2026-03-30T16:00:00Z,2026-03-30,-1,5.935,5.935,5.935,5.73904148629149,0.0979792568542563,stop,0,-0.04,Deep-Backwardation,1.00801431877287,1
CL,test,2026-03-30T18:45:00Z,2026-03-30T19:45:00Z,2026-03-30,-1,6.23681818181817,6.40519327885715,6.40519327885715,5.9674180265558,0.134700077631184,stop,-0.16837509703898,-0.20837509703898,Deep-Backwardation,1.04772948618671,1
CL,test,2026-03-31T14:45:00Z,2026-03-31T15:15:00Z,2026-03-31,-1,7.43566666666665,7.1494986917844,7.43566666666665,7.1494986917844,0.143083987441128,target,0.286167974882256,0.246167974882256,Deep-Backwardation,1.8757885857139,1
CL,test,2026-04-01T17:15:00Z,2026-04-01T17:45:00Z,2026-04-01,-1,8.91916666666667,8.55255528598387,8.91916666666667,8.55255528598387,0.183305690341402,target,0.366611380682803,0.326611380682803,Deep-Backwardation,1.29816451855573,1
CL,test,2026-04-01T19:45:00Z,2026-04-01T20:00:00Z,2026-04-01,-1,8.77999999999999,9.06729444414711,9.06729444414711,8.32032888936459,0.229835555317699,stop,-0.287294444147124,-0.327294444147124,Deep-Backwardation,1.22554240031975,1
CL,test,2026-04-02T13:45:00Z,2026-04-02T14:30:00Z,2026-04-02,-1,10.6333333333333,10.8040903236294,10.8040903236294,10.3601221488595,0.136605592236893,stop,-0.170756990296116,-0.210756990296116,Deep-Backwardation,2.96506046157251,1
CL,test,2026-04-02T14:45:00Z,2026-04-02T15:00:00Z,2026-04-02,-1,10.7266666666667,10.9232421093438,10.9232421093438,10.4121459583834,0.157260354141661,stop,-0.196575442677077,-0.236575442677077,Deep-Backwardation,2.74407642183223,1
CL,test,2026-04-02T17:00:00Z,2026-04-02T17:30:00Z,2026-04-02,-1,15.33,15.33,15.33,14.2186481137909,0.555675943104529,stop,0,-0.04,Deep-Backwardation,4.41466515454598,1
CL,test,2026-04-02T17:45:00Z,2026-04-02T18:30:00Z,2026-04-02,-1,15.51,14.0118147804576,15.51,14.0118147804576,0.749092609771193,target,1.49818521954239,1.45818521954239,Deep-Backwardation,3.44860504491643,1
CL,test,2026-04-02T19:00:00Z,2026-04-02T23:45:00Z,2026-04-02,-1,15.09,13.914,15.09,13.1567705627706,0.966614718614722,session_close,1.176,1.136,Deep-Backwardation,2.67015442882816,1
CL,test,2026-04-07T16:15:00Z,2026-04-07T17:00:00Z,2026-04-07,-1,15.7266666666667,15.7266666666667,15.7266666666667,15.200003968254,0.263331349206365,stop,0,-0.04,Deep-Backwardation,1.19916394881143,1
CL,test,2026-04-07T18:15:00Z,2026-04-07T19:00:00Z,2026-04-07,-1,16.3183333333333,16.3183333333333,16.3183333333333,15.6552626262626,0.331535353535357,stop,0,-0.04,Deep-Backwardation,1.84772809342634,1
CL,test,2026-04-07T19:15:00Z,2026-04-07T20:30:00Z,2026-04-07,-1,16.1625,15.4404508348794,16.1625,15.4404508348794,0.361024582560293,target,0.722049165120586,0.682049165120586,Deep-Backwardation,1.25276765155636,1
CL,test,2026-04-08T13:00:00Z,2026-04-08T13:30:00Z,2026-04-08,1,8.25,8.25,8.25,8.57589502164502,0.162947510822512,stop,0,-0.04,Deep-Backwardation,-1.44453665563022,1
CL,test,2026-04-08T14:00:00Z,2026-04-08T15:15:00Z,2026-04-08,1,8.05799999999999,8.05799999999999,8.05799999999999,8.40276406926407,0.172382034632039,stop,0,-0.04,Deep-Backwardation,-1.40155960949635,1
CL,test,2026-04-08T15:30:00Z,2026-04-08T17:45:00Z,2026-04-08,1,8.12166666666667,7.90540313852814,7.90540313852814,8.46768831168832,0.173010822510826,stop,-0.216263528138532,-0.256263528138532,Deep-Backwardation,-1.25669524031819,1
CL,test,2026-04-08T18:15:00Z,2026-04-08T18:30:00Z,2026-04-08,1,7.28742857142856,7.75980323644609,7.28742857142856,7.75980323644609,0.236187332508765,target,0.472374665017529,0.432374665017529,Deep-Backwardation,-1.1628346235222,1
CL,test,2026-04-08T18:45:00Z,2026-04-08T19:30:00Z,2026-04-08,1,8.03,8.03,8.03,8.54819609358896,0.259098046794478,stop,0,-0.04,Deep-Backwardation,-1.00445790821982,1
CL,test,2026-04-09T13:00:00Z,2026-04-09T14:00:00Z,2026-04-09,1,6.81805555555557,7.0698837868481,6.81805555555557,7.0698837868481,0.125914115646266,target,0.251828231292532,0.211828231292532,Deep-Backwardation,-1.33646494057894,1
CL,test,2026-04-09T18:45:00Z,2026-04-09T20:00:00Z,2026-04-09,-1,9.47500000000001,8.91287981859413,9.47500000000001,8.91287981859413,0.281060090702942,target,0.562120181405883,0.522120181405883,Deep-Backwardation,2.92168221462623,1
